epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6582.16,1.03851,0.50677,1.26699,0.99193,0.99145,0.98935,0.6781,1.17701,0.46043,1.45612,0.0015678,0.0015678,0.0015678
43,6722.26,1.06979,0.50231,1.28893,0.98884,0.99573,0.99448,0.70045,1.11468,0.4563,1.46533,0.001563,0.001563,0.001563
44,6861.93,1.06856,0.50328,1.28466,0.99575,0.99145,0.99483,0.68979,1.13341,0.44525,1.46119,0.0015581,0.0015581,0.0015581
45,6999.95,1.0698,0.51184,1.28836,0.98723,0.99145,0.98987,0.68549,1.15507,0.44879,1.43158,0.0015531,0.0015531,0.0015531
46,7138.3,1.06293,0.49807,1.26013,0.99669,0.99573,0.995,0.69785,1.12056,0.4233,1.40974,0.001548,0.001548,0.001548
47,7276.54,1.05823,0.51318,1.26386,0.99697,0.99129,0.99372,0.69524,1.13344,0.44747,1.46403,0.00154279,0.00154279,0.00154279
48,7414,1.03632,0.48107,1.23923,0.99184,0.99145,0.98974,0.67824,1.17015,0.45079,1.4405,0.00153747,0.00153747,0.00153747
49,7551.81,1.02432,0.47444,1.25186,0.99327,0.99145,0.99416,0.69684,1.13693,0.43824,1.47388,0.00153206,0.00153206,0.00153206
50,7689.76,1.02225,0.47411,1.24263,0.99269,0.99145,0.98961,0.68147,1.17555,0.45823,1.48737,0.00152655,0.00152655,0.00152655
51,7827.97,1.06161,0.48573,1.27888,0.99837,0.99573,0.995,0.69536,1.14673,0.42754,1.47388,0.00152093,0.00152093,0.00152093
52,7965.9,1.02057,0.48052,1.23819,0.99836,0.98441,0.99457,0.67672,1.19654,0.47633,1.50236,0.00151522,0.00151522,0.00151522
53,8104.46,1.00832,0.45672,1.23721,0.99705,0.99145,0.99496,0.68664,1.17464,0.42141,1.42618,0.00150941,0.00150941,0.00150941
54,8243.2,1.0252,0.46687,1.24078,0.99677,0.99501,0.995,0.68676,1.13903,0.43091,1.40266,0.0015035,0.0015035,0.0015035
55,8381.16,1.01601,0.48407,1.23981,0.99616,0.9948,0.995,0.6898,1.16752,0.462,1.43726,0.00149749,0.00149749,0.00149749
56,8519.75,1.0169,0.49391,1.26713,0.99611,0.99145,0.99492,0.69304,1.12771,0.44002,1.44259,0.00149139,0.00149139,0.00149139
57,8658.26,1.01256,0.48103,1.24595,0.9868,0.99573,0.99491,0.6884,1.1542,0.43738,1.47991,0.00148519,0.00148519,0.00148519
58,8796.98,1.00573,0.47817,1.2381,0.99235,0.99573,0.99496,0.7076,1.12961,0.42743,1.4434,0.0014789,0.0014789,0.0014789
59,8936.1,1.04273,0.49852,1.2757,0.98453,0.99145,0.98914,0.68364,1.17496,0.44941,1.47698,0.00147252,0.00147252,0.00147252
60,9087.11,1.00787,0.47427,1.22867,0.996,0.99511,0.995,0.68454,1.18237,0.4349,1.46673,0.00146605,0.00146605,0.00146605
61,9226.25,0.99054,0.46453,1.22442,0.99721,0.99112,0.99492,0.70542,1.13459,0.42311,1.42759,0.00145948,0.00145948,0.00145948
62,9364.56,1.0185,0.47761,1.24426,0.99596,0.99145,0.99492,0.69069,1.14754,0.42765,1.41403,0.00145282,0.00145282,0.00145282
63,9502.5,0.97715,0.46013,1.22034,0.98868,0.98718,0.98921,0.69028,1.16527,0.43928,1.4415,0.00144608,0.00144608,0.00144608
64,9643.08,0.99851,0.45404,1.2253,0.98342,0.99145,0.98917,0.69172,1.14617,0.42742,1.46738,0.00143924,0.00143924,0.00143924
65,9795.32,0.97661,0.45592,1.21435,0.9972,0.99573,0.995,0.69996,1.11985,0.4173,1.44964,0.00143232,0.00143232,0.00143232
66,9937.37,1.01638,0.47052,1.24628,0.99745,0.99554,0.995,0.69102,1.12997,0.42743,1.45505,0.00142531,0.00142531,0.00142531
67,10077,0.97437,0.46889,1.22388,0.98971,0.98392,0.99462,0.67932,1.18688,0.44625,1.4753,0.00141822,0.00141822,0.00141822
68,10216.6,0.98424,0.46756,1.22401,0.99259,0.98284,0.99122,0.6841,1.16706,0.46545,1.43368,0.00141105,0.00141105,0.00141105
69,10357.3,1.0026,0.46358,1.22514,0.9905,0.99573,0.995,0.70003,1.14019,0.41025,1.43774,0.00140379,0.00140379,0.00140379
70,10496.1,0.98666,0.46525,1.2331,0.99932,0.99573,0.995,0.70551,1.12606,0.41358,1.44558,0.00139644,0.00139644,0.00139644
71,10633.9,0.98973,0.45774,1.22701,0.99648,0.98718,0.99475,0.69511,1.1317,0.44785,1.45182,0.00138902,0.00138902,0.00138902
72,10772.5,1.01563,0.47567,1.23315,0.99888,0.99573,0.995,0.69558,1.14774,0.41831,1.43985,0.00138152,0.00138152,0.00138152
